dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time
eurosat,640,3,0,3,1,0.5249999999917969,0.5218749999918457,13278.900438308716,221.31500730514526
eurosat,640,3,0,3,1,0.5249999999917969,0.5218749999918457,13278.900438308716,221.31500730514526
eurosat,640,3,0,3,2,0.5218749999918457,0.5218749999918457,13234.873752117157,220.58122920195262
eurosat,640,3,0,3,2,0.5218749999918457,0.5218749999918457,13234.873752117157,220.58122920195262
eurosat,640,3,0,3,3,0.5218749999918457,0.5218749999918457,15535.981874465942,258.93303124109906
eurosat,640,3,0,3,3,0.5218749999918457,0.5218749999918457,15535.981874465942,258.93303124109906
eurosat,640,3,0,4,1,0.5218749999918457,0.5218749999918457,20335.13422346115,338.9189037243525
eurosat,640,3,0,4,1,0.5218749999918457,0.5218749999918457,20335.13422346115,338.9189037243525
eurosat,640,3,0,4,2,0.5218749999918457,0.5218749999918457,21811.59034180641,363.52650569677354
eurosat,640,3,0,4,2,0.5218749999918457,0.5218749999918457,21811.59034180641,363.52650569677354
eurosat,640,3,0,4,3,0.5218749999918457,0.5218749999918457,21981.90109539032,366.3650182565053
eurosat,640,3,0,4,3,0.5218749999918457,0.5218749999918457,21981.90109539032,366.3650182565053
eurosat,80,1,0,3,1,0.42499999994687504,0.42499999994687504,859.9739091396332,14.332898485660554
eurosat,80,1,0,3,1,0.42499999994687504,0.42499999994687504,859.9739091396332,14.332898485660554
eurosat,80,1,0,3,2,0.42499999994687504,0.42499999994687504,857.4581904411316,14.290969840685527
eurosat,80,1,0,3,2,0.42499999994687504,0.42499999994687504,857.4581904411316,14.290969840685527
eurosat,80,1,0,3,3,0.42499999994687504,0.42499999994687504,935.6940724849701,15.594901208082835
eurosat,80,1,0,3,3,0.42499999994687504,0.42499999994687504,935.6940724849701,15.594901208082835
eurosat,80,1,0,4,1,0.42499999994687504,0.42499999994687504,1129.554916858673,18.825915280977885
eurosat,80,1,0,4,1,0.42499999994687504,0.42499999994687504,1129.554916858673,18.825915280977885
eurosat,80,1,0,4,2,0.42499999994687504,0.42499999994687504,1085.8182544708252,18.096970907847087
eurosat,80,1,0,4,2,0.42499999994687504,0.42499999994687504,1085.8182544708252,18.096970907847087
eurosat,80,1,0,4,3,0.42499999994687504,0.42499999994687504,1099.608234167099,18.326803902784985
eurosat,80,1,0,4,3,0.42499999994687504,0.42499999994687504,1099.608234167099,18.326803902784985
eurosat,80,2,0,3,1,0.42499999994687504,0.42499999994687504,724.7341227531433,12.078902045885721
eurosat,80,2,0,3,1,0.42499999994687504,0.42499999994687504,724.7341227531433,12.078902045885721
eurosat,80,2,0,3,2,0.42499999994687504,0.42499999994687504,717.4051823616028,11.956753039360047
eurosat,80,2,0,3,2,0.42499999994687504,0.42499999994687504,717.4051823616028,11.956753039360047
eurosat,80,2,0,3,3,0.42499999994687504,0.4374999999453125,747.7512183189392,12.462520305315653
eurosat,80,2,0,3,3,0.42499999994687504,0.4374999999453125,747.7512183189392,12.462520305315653
