dataset,N,seed,p_err,non_equivariance,reps,val_acc,val_aug_acc,training_time,epoch_time,convergence_epoch
mnist,2560,4,0,3,3,0.9779116465814363,0.6741967871452099,33133.634137153625,552.2272356192271,16
mnist,640,5,0,3,3,0.9593749999850097,0.671874999989502,8102.771366596222,135.04618944327038,14
mnist,640,5,0,3,1,0.9484374999851807,0.6624999999896485,10337.752908468246,172.2958818078041,12
mnist,640,5,0,4,1,0.5968749999906738,0.5968749999906738,10439.158190011978,173.98596983353298,18
mnist,640,5,0,4,2,0.8765624999863036,0.8765624999863036,13655.882029056549,227.59803381760915,27
mnist,5120,2,0,4,3,0.8780120481883634,0.8780120481883634,109364.12035155296,1822.7353391925494,28
mnist,640,5,0,4,3,0.818749999987207,0.818749999987207,15537.959939718246,258.9659989953041,12
mnist,2560,4,0,4,2,0.9016064256982852,0.9016064256982852,42127.79827976227,702.1299713293712,15
mnist,1280,5,0,3,3,0.9843749999923097,0.6695312499947693,14724.293625116348,245.40489375193914,11
mnist,1280,5,0,3,2,0.9414062499926453,0.5578124999956421,15562.318516731262,259.3719752788544,18
mnist,1280,5,0,3,1,0.9664062499924501,0.6562499999948731,17629.097865581512,293.81829775969186,21
mnist,5120,3,0,4,1,0.585843373491035,0.585843373491035,83915.18475937843,1398.5864126563072,15
mnist,20,6,0,3,1,0.749999999625,0.549999999725,214.41513633728027,3.573585605621338,13
mnist,20,6,0,3,2,0.8499999995749999,0.49999999975,216.46307015419006,3.6077178359031676,32
mnist,20,6,0,3,3,0.89999999955,0.49999999975,319.38291335105896,5.323048555850983,32
mnist,20,6,0,4,1,0.549999999725,0.549999999725,283.7414581775665,4.729024302959442,32
mnist,20,6,0,4,3,0.749999999625,0.749999999625,314.4252669811249,5.240421116352081,32
mnist,20,6,0,4,2,0.5999999997,0.5999999997,514.055526971817,8.56759211619695,13
mnist,40,6,0,3,1,0.92499999976875,0.6499999998375,400.27982926368713,6.6713304877281185,13
mnist,40,6,0,3,3,0.92499999976875,0.72499999981875,399.68843054771423,6.661473842461904,24
mnist,40,6,0,3,2,0.6999999998249999,0.499999999875,767.4593832492828,12.790989720821381,13
mnist,40,6,0,4,1,0.6999999998249999,0.6999999998249999,525.1924169063568,8.75320694843928,53
mnist,40,6,0,4,2,0.92499999976875,0.92499999976875,733.877471446991,12.231291190783184,26
mnist,40,6,0,4,3,0.9499999997624999,0.9499999997624999,630.9760482311249,10.516267470518748,13
mnist,80,6,0,3,1,0.9624999998796876,0.724999999909375,1095.522545337677,18.258709088961282,8
mnist,2560,4,0,4,1,0.5983935742941848,0.5983935742941848,47697.09390091896,794.951565015316,15
mnist,80,6,0,3,2,0.8999999998875001,0.5374999999328125,865.4488701820374,14.42414783636729,17
mnist,80,6,0,3,3,0.9624999998796876,0.6874999999140625,1079.4547445774078,17.990912409623466,17
mnist,80,6,0,4,1,0.6124999999234375,0.6124999999234375,1125.904213666916,18.76507022778193,35
mnist,80,6,0,4,2,0.974999999878125,0.974999999878125,1170.0814106464386,19.50135684410731,17
mnist,80,6,0,4,3,0.8624999998921876,0.8624999998921876,1472.9556448459625,24.549260747432708,22
mnist,160,6,0,3,1,0.9624999999398437,0.6687499999582031,1710.1276454925537,28.502127424875894,32
mnist,160,6,0,3,2,0.8624999999460937,0.6312499999605469,1706.382264137268,28.439704402287802,21
mnist,1280,5,0,4,1,0.6007812499953065,0.6007812499953065,23924.3924806118,398.73987467686334,15
mnist,1280,5,0,4,2,0.8749999999931641,0.8749999999931641,23311.099937915802,388.5183322985967,18
mnist,160,6,0,3,3,0.9874999999382812,0.7062499999558594,1955.7271420955658,32.59545236825943,17
mnist,160,6,0,4,1,0.6124999999617187,0.6124999999617187,2638.8863310813904,43.98143885135651,21
mnist,160,6,0,4,2,0.9062499999433593,0.9062499999433593,3064.354216337204,51.07257027228673,21
mnist,160,6,0,4,3,0.9374999999414062,0.9374999999414062,3640.2495517730713,60.67082586288452,21
mnist,320,6,0,3,2,0.8968749999719726,0.6374999999800781,4411.92827296257,73.5321378827095,19
mnist,320,6,0,3,1,0.9656249999698242,0.6312499999802734,4935.407678842545,82.25679464737574,24
mnist,2560,4,0,4,3,0.8062248995943463,0.8062248995943463,56423.021968603134,940.3836994767189,26
