N,seed,non_equivariance,p_err,max_val_acc,max_epoch
160,999,0,0.07,0.7937499999503906,19
160,999,0,0.08,0.8062499999496093,17
160,999,0,0.09,0.8187499999488281,21
160,999,0,0.1,0.8437499999472656,26
160,999,1,0.0,0.8312499999480468,24
160,999,1,0.01,0.8062499999496093,15
160,999,1,0.02,0.7749999999515624,14
160,999,1,0.03,0.7562499999527343,8
160,999,1,0.04,0.7437499999535155,8
160,999,1,0.05,0.7062499999558594,8
160,999,1,0.06,0.6749999999578125,12
160,999,1,0.07,0.6187499999613281,1
160,999,1,0.08,0.6124999999617187,1
160,999,1,0.09,0.6187499999613281,1
160,999,1,0.1,0.5874999999632812,1
160,999,2,0.0,0.8249999999484374,17
160,999,2,0.01,0.8062499999496093,24
160,999,2,0.02,0.7624999999523437,8
160,999,2,0.03,0.7499999999531249,8
160,999,2,0.04,0.7312499999542968,8
160,999,2,0.05,0.69999999995625,8
160,999,2,0.06,0.6312499999605469,1
160,999,2,0.07,0.6187499999613281,1
160,999,2,0.08,0.6124999999617187,1
160,999,2,0.09,0.6187499999613281,1
160,999,2,0.1,0.5999999999625,1
160,999,3,0.0,0.649999999959375,5
160,999,3,0.01,0.8874999999445312,39
160,999,3,0.02,0.8812499999449218,36
160,999,3,0.03,0.8812499999449218,35
160,999,3,0.04,0.8874999999445312,33
160,999,3,0.05,0.8749999999453124,32
160,999,3,0.06,0.8749999999453124,32
160,999,3,0.07,0.8812499999449218,32
160,999,3,0.08,0.8687499999457031,32
160,999,3,0.09,0.8687499999457031,32
160,999,3,0.1,0.8687499999457031,32
320,999,4,0.01,0.8156249999745117,4
320,999,4,0.02,0.7999999999749999,4
320,999,4,0.03,0.709374999977832,5
320,999,4,0.04,0.6374999999800781,5
320,999,4,0.05,0.5218749999836914,2
320,999,4,0.06,0.8218749999743163,26
320,999,4,0.07,0.8218749999743163,15
320,999,4,0.08,0.8218749999743163,39
320,999,4,0.09,0.818749999974414,39
320,999,4,0.1,0.8249999999742187,39
20,1234,0,0.0,0.95,8
20,1234,0,0.09,0.89999999955,23
20,1234,0,0.1,0.6999999996499999,33
20,1234,1,0.0,0.95,9
20,1234,1,0.01,0.9,11
20,1234,1,0.02,0.85,10
20,1234,1,0.03,0.85,11
20,1234,1,0.04,0.75,11
20,1234,1,0.05,0.7,18
20,1234,1,0.06,0.7,18
20,1234,1,0.07,0.65,18
20,1234,1,0.08,0.55,36
20,1234,1,0.09,0.5,38
